,AreaName,AvgPrice,Latitude,Longitude,PinCode,District
368,Bamnoli,735.29,28.545682,77.031618,110077,South West District
369,Bhalswa,3461.54,28.742565,77.163174,110042,North District
370,Dda Flat,9622.96,28.52615,77.221537,110017,South District
371,Dwarka Sector 11 Pocket 3,5630.64,28.585082,77.047071,110075,South West District
372,E 2 Vasant Kunj,5641.03,28.51498,77.153245,110070,South District
373,Madangir,441.92,28.519654,77.228583,110062,South District
374,Masjid Moth,14571.43,28.541008,77.234227,110048,South East Delhi District
375,Mathura Road Sarita Vihar,9105.22,28.515011,77.296958,110076,South East Delhi District
376,Meera Bagh,8346.59,28.658887,77.089295,110087,West District
377,Netaji Subhash Place,20357.14,28.692377,77.149477,110034,North West District
378,New Kondli,1087.99,28.606115,77.330756,110096,East District
379,Sector 11 Dwarka Pocket 2,8394.06,28.585773,77.045946,110075,South West District
380,Sector 15A,18636.36,28.675372,77.223558,110054,Central District
381,Swasthya Vihar,14204.55,28.640829,77.289421,110092,East District
382,Abul Fazal Enclave,3466.67,28.54637,77.307199,110025,South East Delhi District
383,Central Secretariat,16216.22,28.615966,77.215843,110001,New Delhi District
384,Delhi Apartments,1152.93,28.603676,77.054309,110078,West District
385,Derawal Nagar,8171.6,28.699642,77.190193,110009,North District
386,Dwarka Sector 12 Pocket 4,9145.82,28.595862,77.043795,110078,South West District
387,Dwarka Sector 16 Main Road,8284.02,28.59608,77.075058,110045,South West District
388,Paschim Vihar Main,10952.38,28.669306,77.093265,110063,West District
389,Sector 6 Dwarka Palam Vihar,11319.5,28.594958,77.068549,110075,South West District
390,Sushant Lok Delhi,3459.87,28.657155,77.316155,110092,Shahdara District
391,Vinod Nagar East,474.07,28.623101,77.307622,110091,East District
392,10 Sector Dwarka,8200.93,28.590611,77.057569,110075,South West District
393,B K Dutt Colony,21912.35,28.581666,77.215914,110003,South East Delhi District
394,Bhagwati Vihar,2888.89,28.612684,77.06236,110059,West District
395,Block A,11785.71,28.644128,77.101778,110018,West District
396,Jagriti Enclave Shreshtha Vihar,20790.44,28.655879,77.316371,110092,Shahdara District
397,Kundli,5177.13,28.69801,77.120157,110034,North West District
398,Loknayak Puram,5765.43,28.663064,77.010044,110041,West District
399,Mansarovar Park,7849.56,28.681864,77.299151,110032,Shahdara District
400,Mayur Vihar Iii,810.86,28.610627,77.336514,110096,East District
401,Okhla Vihar,4888.89,28.554818,77.290006,110025,South East Delhi District
402,Ranjeet Nagar,10909.09,28.64345,77.169485,110008,West District
403,Shyam Vihar Phase1,4637.25,28.606015,77.02922,110078,South West District
404,Anupam Garden 10Th Lane,9523.81,28.514134,77.208503,110017,South District
405,Bhiwadi,3696.78,28.632694,77.21966,,
406,Block A1 Chattarpur,3750,28.494484,77.184047,110074,South District
407,C Block Janakpuri Road,11313.32,28.620621,77.093496,110058,West District
408,Dcm Road,35115.7,28.662616,77.204021,110007,Central District
409,Deepali,7393.76,28.694694,77.118494,110034,North West District
410,Dilshad Colony,8714.29,28.6884,77.326317,110095,Shahdara District
411,Dwarka Sector 15,8216.37,28.606782,77.023576,110078,South West District
412,Kakrola,6296.3,28.608126,77.018272,110078,South West District
413,Kalu Sarai,25713.38,28.539458,77.199566,110016,South District
414,Kishangarh Mehrauli Road,5555.56,28.521341,77.179337,110030,South District
415,Mahipalpur Extension,4843.21,28.545272,77.129485,110037,New Delhi District
416,Nasirpur,8892.86,28.600232,77.087882,110045,South West District
417,Navin Shahdara,9565.22,28.671679,77.294197,,Shahdara District
418,Sarai Rohilla,3157.89,28.66302,77.182898,110005,Central District
419,Sector 111,10260.67,28.736906,77.051255,110086,North West District
420,Sector 8 Dwarka Block B,10526.32,28.575747,77.073874,110077,South West District
421,Sector-28 Rohini,5798.52,28.756306,77.101561,110042,North District
422,Sector24,10142.86,28.632694,77.21966,,New Delhi District
423,Sectorb Vasant Kunj,14285.71,28.522471,77.164599,110070,South District
424,Sewa Nagar,6166.67,28.577172,77.225249,110003,South East Delhi District
425,Shakurpur,2471.91,28.682335,77.141606,110034,North West District
426,Shadipur,20636.36,28.652243,77.151937,110008,West District
427,Aerocity,4391.01,28.552016,77.121662,110037,New Delhi District
428,Bharat Vihar,4383.33,28.607385,77.029196,110078,South West District
429,Chitra Vihar,11877.01,28.642648,77.285919,110092,East District
430,Defence Colony Flyover,53722.18,28.573199,77.232795,110024,South East Delhi District
431,Delhi Cantonment,8437.5,28.584669,77.133538,,New Delhi District
432,Duggal Housing Complex,3871.83,28.512933,77.228906,110062,South District
433,Ferozshah Road,2558.82,28.597113,77.132191,110010,New Delhi District
434,Karala,3424.66,28.735684,77.036117,110081,North West District
435,Mansa Ram Park Park Path,3500,28.617651,77.039019,110059,West District
436,Pochanpur Colony,6263.89,28.561103,77.047446,110077,South West District
437,Sadar Bazaar,5166.93,28.591759,77.120554,110010,New Delhi District
438,Sector 103,4526.7,28.735093,77.142806,110042,North District
439,Sector 37 Rohini,3000,28.74381,77.060163,110086,North District
440,Sector 9,13750,28.717325,77.127455,110085,North District
441,Sheikh Sarai Phase2 New Delhi,12513.91,28.534073,77.228266,110017,South District
442,Sonia Vihar,2545.45,28.716561,77.252766,110090,North East District
443,South Patel Nagar,13333.33,28.652637,77.163834,110008,West District
444,Vasant Enclave,13221.54,28.574318,77.159724,110057,New Delhi District
