,AreaName,District,PinCode,Longitude,Latitude,Cluster,1st most common venue,2nd most common venue,3rd most common venue,4th most common venue,5th most common venue
324,Begampur Park,West District,110063,77.094644,28.673665,2,Indian Restaurant,Garden,Fried Chicken Joint,Football Stadium,Food Truck
325,Dlf City Phase 3 Road,West District,110059,77.054035,28.625796999999995,2,Indian Restaurant,Health & Beauty Service,Train Station,Food Truck,Food Court
326,Deepali,North West District,110034,77.118494,28.694694,2,Indian Restaurant,Hotel,Lake,Diner,Bus Station
327,Lajpat Nagar Iv,South East Delhi District,110024,77.240746,28.56298,2,Indian Restaurant,Market,Café,Fast Food Restaurant,Bank
328,Dwarka Sector 11 Pocket 4,South West District,110075,77.043674,28.587676,2,Indian Restaurant,Market,French Restaurant,Football Stadium,Food Truck
329,Katwaria Sarai,South District,110016,77.18800799999998,28.539874,2,Indian Restaurant,Modern European Restaurant,Hotel,Restaurant,Moroccan Restaurant
330,Block A1 Chattarpur,South District,110074,77.184047,28.494484,2,Indian Restaurant,Pub,Restaurant,Resort,Food Truck
331,Netaji Subash Marg,Central District,110002,77.240409,28.645492,2,Indian Restaurant,Restaurant,Road,Bank,Yoga Studio
332,Bhagat Chandra Hospital,South West District,110045,77.081135,28.593251999999996,2,Indian Restaurant,Science Museum,Bank,French Restaurant,Food Truck
333,Jamia Nagar,South East Delhi District,110025,77.281419,28.560838999999998,3,ATM,Asian Restaurant,Chinese Restaurant,Athletics & Sports,Pizza Place
334,Janakpuri,West District,110058,77.088521,28.621667,3,ATM,Café,Ice Cream Shop,Gym / Fitness Center,Food Truck
335,Loni,Shahdara District,110032,77.291986,28.687996,3,ATM,Clothing Store,Men's Store,Indian Restaurant,Pizza Place
336,Bhagwati Garden,West District,110059,77.033078,28.621219000000004,3,ATM,Indian Restaurant,Light Rail Station,Fast Food Restaurant,Pizza Place
337,Sewak Park,West District,110059,77.033562,28.617788,3,ATM,Indian Restaurant,Light Rail Station,Fast Food Restaurant,Pizza Place
338,Jagriti Enclave Shreshtha Vihar,Shahdara District,110092,77.316371,28.655879,3,ATM,Italian Restaurant,Café,Indian Restaurant,Hotel Bar
339,Sushant Lok Delhi,Shahdara District,110092,77.316155,28.657155,3,ATM,Italian Restaurant,Café,Indian Restaurant,Hotel Bar
340,Pocket 8 Sector C,South District,110070,77.141515,28.537006,3,ATM,Juice Bar,Pizza Place,Park,Spa
341,Ca Apartments,West District,110063,77.102869,28.671059000000007,3,ATM,Sandwich Place,Market,Multicuisine Indian Restaurant,Department Store
342,Sector 19B,West District,110063,77.101017,28.667179,3,ATM,Sandwich Place,Multicuisine Indian Restaurant,Pizza Place,Coffee Shop
343,Pontoon Bridge,North East District,110054,77.232257,28.70587,3,Asian Restaurant,Coffee Shop,Café,Yoga Studio,Fabric Shop
344,Greater Kailash Ii,South East Delhi District,110048,77.241845,28.53488300000001,3,Asian Restaurant,Indian Restaurant,Restaurant,Chinese Restaurant,Italian Restaurant
345,Ahinsa Vihar Road,North District,110085,77.123604,28.712273,3,Basketball Court,Café,Yoga Studio,Fried Chicken Joint,Football Stadium
346,Kiran Garden,West District,110059,77.046439,28.619453000000004,3,Bookstore,Café,Pet Store,Football Stadium,Food Truck
347,South Anarkali Delhi,South District,,77.227055,28.515603,3,Boutique,Plaza,Asian Restaurant,Café,Indian Restaurant
348,South Delhi,South District,,77.227055,28.515603,3,Boutique,Plaza,Asian Restaurant,Café,Indian Restaurant
349,South Ex,South District,,77.227055,28.515603,3,Boutique,Plaza,Asian Restaurant,Café,Indian Restaurant
350,Block A,West District,110018,77.10177799999998,28.644128,3,Bowling Alley,Indian Restaurant,Fast Food Restaurant,Furniture / Home Store,Shopping Mall
351,Roop Nagar,Central District,110007,77.20039,28.684983999999996,3,Breakfast Spot,Pizza Place,Playground,Miscellaneous Shop,Event Space
352,Pocket 10 Sector B,South District,110070,77.153659,28.532418,3,Café,Arcade,Thai Restaurant,Clothing Store,Fabric Shop
